customer_id,age,monthly_income,credit_score,employment_status,monthly_total_spend,travel_spend,dining_spend,online_shopping_spend,fuel_spend,preferred_reward
CUST_0064,73,7736,730,Freelance,4759,2555,2497,1543,30,Fuel
CUST_0065,26,17809,617,Executive,9508,2883,94,3056,439,Dining
CUST_0066,55,23962,598,Executive,9514,2698,1883,2206,348,Fuel
CUST_0067,61,15018,724,Full-time,10909,204,477,3339,411,Shopping
CUST_0068,57,1852,601,Full-time,3686,2428,761,2708,527,Fuel
CUST_0069,44,8505,651,Full-time,2964,3144,189,4029,309,Shopping
CUST_0070,49,15536,765,Executive,10921,3587,1507,747,395,Shopping
CUST_0071,69,18042,737,Executive,4745,1099,1756,800,337,Travel
CUST_0072,66,2456,606,Executive,6035,3912,1559,1497,436,Dining
CUST_0073,73,3571,596,Full-time,11201,76,755,1379,364,Cashback
CUST_0074,51,10095,708,Retired,8546,815,1446,679,112,Travel
CUST_0075,55,16640,723,Freelance,3390,767,835,3770,175,Cashback
CUST_0076,53,14303,791,Retired,8554,2457,1663,3342,148,Shopping
CUST_0077,72,4953,831,Executive,5734,3685,1628,896,177,Travel
CUST_0078,41,8175,790,Executive,4876,105,1835,1546,381,Fuel
CUST_0079,52,2455,554,Retired,5985,3916,132,3126,222,Fuel
CUST_0080,43,7795,633,Executive,1893,2598,54,683,258,Cashback
CUST_0081,53,17421,797,Freelance,4680,3547,509,1295,188,Shopping
CUST_0082,23,19596,603,Executive,11486,2873,669,1385,305,Cashback
CUST_0083,38,16782,710,Freelance,7359,3346,2457,942,377,Dining
CUST_0084,45,6203,775,Retired,11571,2135,1689,3280,342,Fuel
CUST_0085,62,8063,564,Retired,11480,1746,1316,1033,155,Travel
CUST_0086,51,23515,773,Executive,3585,2928,733,2786,54,Travel
CUST_0087,74,13503,610,Freelance,6865,3148,1693,2233,441,Travel
CUST_0088,78,12317,671,Executive,7339,3148,258,3645,199,Fuel
CUST_0089,23,12671,826,Full-time,11750,1465,1145,1620,402,Shopping
CUST_0090,60,14082,595,Full-time,2374,2587,298,3535,176,Fuel
CUST_0091,66,13701,843,Full-time,6476,244,560,3205,448,Fuel
CUST_0092,44,19278,611,Full-time,11365,2625,1912,2882,540,Travel
CUST_0093,70,13973,635,Executive,8860,3849,1864,4904,300,Fuel
CUST_0094,52,10961,759,Full-time,4790,1405,296,170,306,Travel
CUST_0095,67,22616,627,Freelance,6010,981,2409,1553,266,Shopping
CUST_0096,42,21598,751,Retired,5645,2764,1461,3897,213,Dining
CUST_0097,43,17096,772,Retired,10085,3641,2174,1595,593,Travel
CUST_0098,22,2029,771,Full-time,1989,1736,196,1623,482,Cashback
CUST_0099,47,20842,552,Full-time,3489,3808,2268,4122,261,Dining
CUST_0100,62,21475,555,Full-time,4895,141,994,1091,66,Shopping
CUST_0101,22,24779,642,Executive,2675,892,2138,2837,573,Dining
CUST_0102,46,14265,557,Retired,8568,1391,2458,407,132,Travel
CUST_0103,37,15410,784,Full-time,4206,3155,7,4169,539,Shopping
CUST_0104,60,13061,657,Freelance,10779,3214,319,679,511,Cashback
CUST_0105,53,10631,710,Full-time,4732,2399,1417,4944,210,Travel
CUST_0106,29,2025,758,Retired,10599,544,2316,4965,252,Travel
CUST_0107,63,24361,789,Full-time,9040,2960,1698,236,37,Shopping
CUST_0108,74,17885,599,Retired,6208,2199,2108,2774,42,Shopping
CUST_0109,68,1874,560,Full-time,4661,3229,1461,3437,404,Dining
CUST_0110,59,13697,705,Freelance,8206,1469,1287,3357,45,Cashback
CUST_0111,49,6148,619,Full-time,11172,2700,1118,2877,453,Dining
CUST_0112,62,3865,718,Freelance,3633,3005,552,2423,304,Dining
CUST_0113,75,19409,821,Freelance,6085,762,660,4714,232,Travel
CUST_0114,46,3146,617,Full-time,10389,3374,715,3147,244,Shopping
CUST_0115,55,1513,801,Freelance,8445,623,2241,1032,294,Travel
CUST_0116,70,6099,597,Executive,9823,655,1458,2854,382,Cashback
CUST_0117,45,3778,733,Full-time,11689,2497,854,2940,157,Dining
CUST_0118,44,15796,736,Full-time,5577,2768,2259,3701,404,Cashback
CUST_0119,33,4655,639,Freelance,3535,1247,664,4070,0,Shopping
CUST_0120,78,9821,688,Freelance,9073,42,1897,3132,216,Shopping
CUST_0121,27,5314,638,Full-time,9078,2311,1674,3460,506,Fuel
CUST_0122,77,14625,823,Executive,7168,3827,2268,4942,580,Cashback
CUST_0123,56,4716,568,Freelance,11055,1026,272,1923,29,Travel
CUST_0124,65,3613,703,Freelance,1621,1660,1177,633,519,Cashback
CUST_0125,40,22240,809,Retired,8325,1291,1272,4103,274,Dining
CUST_0126,21,11738,657,Executive,962,595,278,1392,491,Shopping
CUST_0127,28,15260,834,Executive,8577,3087,815,3446,35,Shopping
CUST_0128,66,23427,608,Full-time,11389,3405,275,3098,310,Cashback
CUST_0129,36,22439,674,Executive,2732,3535,1004,4944,43,Cashback
CUST_0130,34,14088,822,Full-time,11720,3130,922,61,154,Cashback
CUST_0131,32,24946,656,Retired,4335,1012,641,2469,76,Dining
CUST_0132,71,4874,848,Executive,6756,2224,504,1817,589,Dining
CUST_0133,43,7930,794,Freelance,4246,2110,771,632,437,Travel
CUST_0134,35,21350,796,Retired,3590,957,1264,4887,431,Cashback
CUST_0135,48,20965,557,Full-time,3507,3050,1259,2598,541,Travel
CUST_0136,54,13470,690,Retired,8759,560,1013,3451,38,Fuel
CUST_0137,22,2129,557,Full-time,4733,1330,127,1300,238,Dining
CUST_0138,52,18153,643,Retired,4185,3317,1223,2653,12,Shopping
CUST_0139,43,12331,588,Full-time,7436,1312,1525,1454,121,Fuel
CUST_0140,42,7224,630,Executive,1722,1821,1673,1138,143,Shopping
CUST_0141,71,23781,736,Freelance,8889,3002,491,3192,454,Fuel
CUST_0142,45,12583,633,Full-time,11167,3403,1257,4620,367,Travel
CUST_0143,78,14649,637,Retired,10574,1550,1666,4994,246,Travel
CUST_0144,42,21316,791,Full-time,1364,849,415,2210,44,Dining
CUST_0145,78,10972,642,Full-time,4058,1278,2195,4882,374,Shopping
CUST_0146,78,7776,635,Full-time,11589,2651,969,3759,290,Fuel
CUST_0147,42,17135,593,Retired,3300,1533,2076,3029,206,Cashback
CUST_0148,69,7395,686,Freelance,5366,1814,1384,1360,518,Cashback
CUST_0149,72,15494,623,Executive,9979,1741,307,2426,241,Dining
CUST_0150,62,24999,585,Freelance,7681,605,2209,4268,113,Shopping
CUST_0151,26,24540,650,Full-time,4436,3808,60,63,301,Cashback
CUST_0152,35,12052,705,Retired,6830,3884,2172,1345,275,Dining
CUST_0153,74,18459,804,Freelance,1023,2877,1479,974,95,Dining
CUST_0154,63,24913,720,Full-time,7097,1486,1930,4161,293,Shopping
CUST_0155,57,7599,765,Executive,1150,3270,2290,3628,359,Cashback
CUST_0156,53,10999,719,Executive,8114,1294,1513,1622,287,Cashback
CUST_0157,28,21076,801,Executive,2728,745,472,457,153,Cashback
CUST_0158,73,4678,604,Full-time,8543,557,958,3330,569,Travel
CUST_0159,64,23936,640,Retired,9340,2111,532,1740,422,Cashback
CUST_0160,64,20618,827,Freelance,5532,3301,493,3026,49,Fuel
CUST_0161,25,7616,650,Executive,1817,941,81,1954,206,Travel
CUST_0162,59,17063,704,Full-time,3026,2296,878,279,563,Travel
CUST_0163,24,5068,690,Full-time,8006,1269,1545,2391,564,Travel
CUST_0164,26,11347,722,Freelance,7970,939,11,1040,212,Travel
CUST_0165,65,15635,559,Executive,7007,1610,1286,961,65,Dining
CUST_0166,52,20087,777,Full-time,3219,2204,448,3845,231,Fuel
CUST_0167,72,19274,814,Freelance,7040,2782,761,1217,319,Shopping
CUST_0168,50,3242,797,Retired,2693,1725,25,3220,136,Cashback
CUST_0169,67,19809,796,Retired,6122,984,1806,374,565,Travel
CUST_0170,55,2119,704,Retired,11060,1587,1568,4130,64,Shopping
CUST_0171,75,19158,583,Executive,8518,3159,61,1392,513,Dining
CUST_0172,60,18840,678,Freelance,7678,1336,228,2076,131,Shopping
CUST_0173,72,3439,709,Freelance,1925,1874,1838,774,333,Travel
CUST_0174,36,21837,638,Full-time,3917,3137,606,4316,31,Fuel
CUST_0175,33,17501,642,Full-time,4961,661,1058,3424,497,Shopping
CUST_0176,70,2468,790,Full-time,4842,3091,1728,2123,242,Travel
CUST_0177,62,16346,666,Freelance,5233,32,1479,4589,191,Travel
CUST_0178,50,1781,643,Full-time,11162,3911,1525,3593,141,Cashback
CUST_0179,39,16860,712,Freelance,9438,1816,760,279,560,Cashback
CUST_0180,37,7762,648,Freelance,3458,2605,594,4841,190,Fuel
CUST_0181,76,2558,662,Retired,11710,2120,1592,2811,148,Cashback
CUST_0182,39,22177,640,Full-time,4283,1889,1055,2342,598,Fuel
CUST_0183,48,12224,755,Retired,3744,2872,1854,1474,415,Dining
CUST_0184,78,6678,566,Executive,8010,3414,2048,1857,519,Dining
CUST_0185,75,8480,823,Executive,8453,1156,1458,2889,15,Cashback
CUST_0186,46,10700,722,Executive,9587,3126,1861,1059,105,Dining
CUST_0187,57,2729,665,Freelance,2786,60,1159,1922,282,Shopping
CUST_0188,46,22469,730,Freelance,11742,3928,1219,3799,103,Shopping
CUST_0189,73,9967,640,Freelance,1874,1543,132,4592,360,Shopping
CUST_0190,43,20624,631,Full-time,5105,271,85,2473,34,Dining
CUST_0191,29,3789,663,Retired,3807,2293,1499,4139,112,Shopping
CUST_0192,32,2739,806,Freelance,1769,1199,1830,1851,307,Fuel
CUST_0193,73,6870,607,Retired,9572,2675,1203,3541,52,Travel
CUST_0194,21,17670,703,Retired,3624,3388,174,4549,80,Cashback
CUST_0195,78,1625,665,Retired,2011,1806,1975,594,368,Fuel
CUST_0196,78,14004,815,Full-time,1029,2752,577,506,241,Shopping
CUST_0197,21,16898,752,Full-time,5084,2709,1798,4889,30,Travel
CUST_0198,67,23226,590,Executive,3985,1154,2096,20,360,Cashback
CUST_0199,54,8138,654,Executive,1301,1125,144,1399,232,Fuel
CUST_0200,52,8070,742,Retired,11124,309,761,3201,33,Cashback
CUST_0201,74,4749,827,Executive,848,3853,1377,2461,242,Dining
CUST_0202,68,10610,786,Retired,4366,1315,1825,3678,58,Shopping
CUST_0203,45,9095,770,Full-time,3855,1745,928,336,528,Fuel
CUST_0204,60,15105,617,Full-time,9680,2542,793,1667,77,Fuel
CUST_0205,65,13615,746,Full-time,1186,3432,1601,3576,301,Travel
CUST_0206,73,7794,805,Freelance,1769,337,1660,909,111,Travel
CUST_0207,21,24411,688,Retired,9997,2626,318,275,412,Travel
CUST_0208,36,7257,698,Full-time,6620,9,1110,891,316,Cashback
CUST_0209,59,14095,648,Retired,3852,48,1576,12,144,Shopping
CUST_0210,25,3469,625,Executive,8197,1510,697,4057,17,Cashback
CUST_0211,42,12485,831,Executive,3102,2670,846,3025,350,Shopping
CUST_0212,49,18775,658,Full-time,3083,1344,1801,973,154,Fuel
CUST_0213,75,5970,737,Retired,10599,730,782,4270,505,Cashback
CUST_0214,23,11725,748,Full-time,5166,3640,2089,3970,359,Cashback
CUST_0215,32,11056,703,Executive,922,794,1116,1408,331,Cashback
CUST_0216,46,10706,589,Full-time,7599,3018,1750,1943,527,Dining
CUST_0217,36,11491,682,Retired,10272,1648,1649,2288,11,Shopping
CUST_0218,71,24696,681,Executive,4527,132,291,546,74,Shopping
CUST_0219,57,9019,828,Freelance,9250,3654,968,1218,211,Cashback
CUST_0220,42,15169,633,Executive,9939,2130,1487,1420,282,Dining
CUST_0221,77,6112,791,Freelance,5758,2104,1842,1454,194,Cashback
CUST_0222,49,13873,665,Full-time,1324,375,96,3377,29,Shopping
CUST_0223,34,19082,658,Full-time,9879,2396,1118,2772,8,Fuel
CUST_0224,48,17052,770,Retired,9199,270,73,4098,308,Dining
CUST_0225,25,16146,590,Freelance,11786,1506,1359,2738,444,Dining
CUST_0226,67,6738,696,Full-time,948,2158,1091,3747,309,Cashback
CUST_0227,69,17077,661,Freelance,8801,2916,757,1842,425,Fuel
CUST_0228,50,23973,652,Full-time,1237,2934,1941,746,590,Shopping
CUST_0229,66,24141,595,Executive,11194,75,207,2816,90,Travel
CUST_0230,72,17004,820,Full-time,4549,3229,1244,871,455,Shopping
CUST_0231,25,5219,744,Retired,8986,3603,1285,494,443,Shopping
CUST_0232,32,1802,829,Executive,5253,1956,409,3444,78,Fuel
CUST_0233,36,13644,832,Retired,6136,1666,2378,4723,474,Dining
CUST_0234,46,18870,589,Executive,5351,328,2391,1075,102,Shopping
CUST_0235,46,11555,738,Freelance,3623,2169,770,3994,455,Dining
CUST_0236,68,5940,713,Retired,6528,40,1843,4237,313,Fuel
CUST_0237,41,22793,573,Full-time,9477,1190,73,45,246,Fuel
CUST_0238,59,4572,573,Freelance,9191,2969,1660,3056,233,Cashback
CUST_0239,56,15098,553,Full-time,2782,2689,253,2057,593,Travel
CUST_0240,53,15787,839,Executive,7796,3094,819,663,234,Fuel
CUST_0241,50,15465,730,Executive,10463,2326,985,4668,386,Fuel
CUST_0242,57,21008,797,Full-time,3111,2810,331,2029,37,Dining
CUST_0243,43,11019,665,Full-time,8025,2516,1421,2696,160,Fuel
CUST_0244,78,14880,828,Freelance,11070,3471,835,639,461,Shopping
CUST_0245,30,13365,618,Full-time,10513,2056,1691,2663,448,Cashback
CUST_0246,74,9625,803,Retired,1404,12,454,2745,116,Cashback
CUST_0247,25,4791,730,Retired,8975,923,1929,4964,240,Shopping
CUST_0248,56,5533,718,Full-time,6585,2970,1138,4948,25,Fuel
CUST_0249,54,6605,798,Retired,10409,1842,312,4402,561,Travel
CUST_0250,72,18587,737,Full-time,5397,3903,1017,2595,297,Fuel
CUST_0251,51,9633,603,Freelance,8559,3123,227,3427,153,Cashback
CUST_0252,30,18458,687,Retired,8332,1232,857,394,467,Travel
CUST_0253,78,7204,717,Retired,11925,3621,1268,3597,48,Dining
CUST_0254,39,9348,652,Full-time,9540,3683,1017,4844,45,Dining
CUST_0255,78,23092,634,Retired,1638,3776,949,2332,284,Fuel
CUST_0256,52,14475,761,Executive,4615,3473,426,329,81,Fuel
CUST_0257,21,8424,552,Freelance,1647,1214,2089,2097,43,Travel
CUST_0258,76,21712,728,Freelance,5509,3122,464,772,272,Travel
CUST_0259,25,21114,587,Retired,5307,3464,1645,1645,393,Fuel
CUST_0260,65,1988,788,Retired,7375,652,277,1732,594,Cashback
CUST_0261,24,8614,718,Executive,5573,1703,18,4473,57,Dining
CUST_0262,36,17240,579,Executive,5268,3894,65,1787,564,Travel
CUST_0263,44,4673,739,Retired,11264,620,166,1623,0,Cashback
CUST_0264,36,3167,574,Retired,5992,3790,1608,999,215,Fuel
CUST_0265,75,5614,661,Executive,4120,1962,402,1848,316,Shopping
CUST_0266,22,5053,755,Full-time,11550,3371,408,1561,227,Travel
CUST_0267,69,9261,734,Executive,5498,1645,2159,773,472,Shopping
CUST_0268,48,2500,596,Full-time,5111,2243,596,1803,483,Cashback
CUST_0269,52,17138,777,Freelance,10988,416,1062,1098,286,Dining
CUST_0270,47,19272,588,Freelance,4473,663,2152,2050,510,Cashback
CUST_0271,40,6950,565,Executive,2364,3491,323,1598,577,Dining
CUST_0272,44,5212,571,Full-time,2640,1778,1982,747,457,Cashback
CUST_0273,32,2867,762,Executive,6858,3711,1437,3973,94,Travel
CUST_0274,70,9689,698,Executive,7931,3688,428,2322,492,Travel
CUST_0275,55,10513,790,Full-time,11879,3593,1084,1553,149,Shopping
CUST_0276,53,18338,821,Executive,1526,1379,1635,1615,22,Cashback
CUST_0277,53,20656,608,Freelance,10236,147,1377,3754,214,Cashback
CUST_0278,71,5226,836,Retired,7497,2045,392,4424,398,Shopping
CUST_0279,63,6306,751,Retired,10057,3048,2251,2302,409,Fuel
CUST_0280,57,3690,581,Executive,1082,1388,2305,4221,130,Cashback
CUST_0281,32,10608,711,Full-time,1881,2411,1540,4862,147,Cashback
CUST_0282,23,13678,804,Full-time,4685,3723,445,3655,380,Cashback
CUST_0283,21,4375,803,Freelance,3681,1725,1203,3395,108,Fuel
CUST_0284,53,7092,558,Full-time,11576,401,1023,216,551,Travel
CUST_0285,60,19324,688,Full-time,3770,2653,341,3316,120,Shopping
CUST_0286,30,14092,559,Freelance,10144,1515,132,1359,294,Fuel
CUST_0287,63,10427,763,Executive,7785,2031,2490,3774,119,Dining
CUST_0288,64,23943,822,Retired,1747,228,1859,4927,455,Dining
CUST_0289,49,15937,597,Freelance,5560,1598,2300,4277,529,Fuel
CUST_0290,33,13030,660,Executive,10709,3923,264,4429,168,Fuel
CUST_0291,32,8510,702,Freelance,866,2584,92,4606,142,Travel
CUST_0292,51,12707,672,Executive,9628,267,1685,4478,36,Dining
CUST_0293,66,4489,651,Freelance,9305,1428,1434,1896,260,Shopping
CUST_0294,22,13540,790,Executive,1364,1816,2185,4427,230,Cashback
CUST_0295,71,10718,740,Freelance,10593,1034,1231,899,253,Cashback
CUST_0296,70,24112,766,Executive,9817,1343,1001,641,328,Travel
CUST_0297,55,7971,600,Freelance,4470,3784,1660,4729,296,Travel
CUST_0298,43,4363,841,Retired,10017,125,1596,3627,9,Dining
CUST_0299,37,12193,630,Retired,3051,2353,2354,195,445,Shopping
CUST_0300,46,2677,637,Full-time,1604,1725,265,1893,229,Shopping
CUST_0301,28,6260,743,Executive,11443,3582,645,3275,535,Fuel
CUST_0302,49,1511,653,Freelance,5431,1112,2365,4050,77,Travel
CUST_0303,46,23136,820,Executive,10383,3426,1136,4553,424,Cashback
CUST_0304,30,17853,645,Retired,2035,2675,1401,4925,192,Cashback
CUST_0305,46,22283,747,Executive,7520,1375,453,2304,400,Dining
CUST_0306,54,13056,550,Freelance,7706,688,2238,3600,108,Cashback
CUST_0307,71,13063,716,Executive,6816,3085,1914,3343,262,Shopping
CUST_0308,61,15551,675,Freelance,4349,1280,1463,2056,328,Shopping
CUST_0309,27,12522,630,Retired,8738,1232,1210,2808,362,Travel
CUST_0310,24,9734,800,Retired,4941,280,830,1224,377,Dining
CUST_0311,78,23329,718,Retired,7766,442,1390,886,340,Cashback
CUST_0312,73,17673,622,Full-time,10346,1863,1112,392,258,Travel
CUST_0313,70,14678,690,Retired,6135,836,2234,1675,334,Fuel
CUST_0314,65,8070,619,Executive,5877,388,1969,3190,84,Fuel
CUST_0315,31,1906,811,Full-time,6411,616,2179,2446,521,Cashback
CUST_0316,49,10706,794,Retired,10828,3554,871,3905,570,Cashback
CUST_0317,76,5931,552,Executive,8889,146,634,3338,307,Cashback
CUST_0318,56,23127,612,Executive,3692,3350,1399,3591,261,Shopping
CUST_0319,45,8042,598,Executive,11488,520,690,3766,451,Cashback
CUST_0320,41,24820,625,Freelance,11575,629,1865,2527,250,Fuel
CUST_0321,77,10406,724,Full-time,11550,3677,1057,2181,323,Cashback
CUST_0322,56,5646,658,Executive,6377,2481,1955,3764,228,Dining
CUST_0323,30,13546,732,Freelance,4418,2191,581,354,595,Fuel
CUST_0324,57,14111,741,Retired,2359,288,2218,2631,296,Dining
CUST_0325,29,14576,614,Executive,7483,1409,1389,1521,236,Fuel
CUST_0326,44,18024,820,Freelance,2307,13,783,2672,216,Travel
CUST_0327,55,6382,649,Executive,2863,256,180,3178,245,Fuel
CUST_0328,69,15613,581,Full-time,4442,3417,18,2337,447,Fuel
CUST_0329,55,15145,677,Full-time,2800,1721,1249,628,318,Dining
CUST_0330,68,7512,592,Retired,2094,3416,1616,2679,431,Dining
CUST_0331,56,18847,627,Executive,4865,1423,2222,4422,403,Fuel
CUST_0332,38,8651,838,Freelance,11744,1230,1245,1438,36,Fuel
CUST_0333,69,5110,819,Retired,8814,857,1638,1421,575,Shopping
CUST_0334,59,11384,711,Executive,10745,2990,53,1126,341,Travel
CUST_0335,52,8394,738,Retired,2403,1195,1426,2683,388,Travel
CUST_0336,44,14967,796,Freelance,2122,463,2396,1780,33,Cashback
CUST_0337,43,17989,765,Retired,6756,269,442,1531,38,Fuel
CUST_0338,52,23423,717,Retired,3241,1244,579,1914,578,Fuel
CUST_0339,57,11373,742,Retired,1898,3223,281,1232,208,Fuel
CUST_0340,32,13789,832,Executive,5873,2670,2407,1956,151,Fuel
CUST_0341,69,13708,562,Freelance,10497,1206,822,392,364,Travel
CUST_0342,75,12328,789,Full-time,10118,3470,1669,825,198,Dining
CUST_0343,33,24671,696,Executive,9288,3922,640,2963,78,Shopping
CUST_0344,43,3637,753,Full-time,11217,71,1031,2395,476,Dining
CUST_0345,45,22329,629,Full-time,4587,3489,2016,4145,433,Dining
CUST_0346,55,21414,592,Executive,2896,3969,562,4895,31,Travel
CUST_0347,61,2786,638,Executive,3008,1306,340,1792,86,Shopping
CUST_0348,50,17210,697,Freelance,6788,2121,471,3064,550,Fuel
CUST_0349,37,12871,644,Freelance,975,2402,1710,1363,392,Travel
CUST_0350,69,17445,700,Retired,7969,1750,2296,2348,243,Travel
CUST_0351,40,8552,551,Full-time,6814,496,234,3551,231,Shopping
CUST_0352,68,5154,571,Freelance,11494,3399,1106,3628,579,Cashback
CUST_0353,45,24986,556,Retired,2467,987,1116,3336,191,Travel
CUST_0354,42,20243,755,Freelance,11537,3606,1908,1565,539,Dining
CUST_0355,33,17100,663,Executive,9667,2627,1417,3667,269,Dining
CUST_0356,79,10136,821,Freelance,2623,909,823,2213,76,Fuel
CUST_0357,39,7941,632,Full-time,5947,3518,1291,4096,166,Travel
CUST_0358,69,22931,728,Freelance,2156,372,631,1019,283,Fuel
CUST_0359,56,23087,759,Full-time,3872,361,528,1284,88,Travel
CUST_0360,32,11167,673,Executive,4059,2140,1980,62,543,Shopping
CUST_0361,61,13649,662,Full-time,6999,1344,2169,2530,155,Travel
CUST_0362,39,3298,561,Freelance,1346,323,2057,3392,249,Cashback
CUST_0363,32,11100,675,Retired,6031,2431,1339,3272,94,Dining
CUST_0364,29,23175,602,Executive,8765,574,1296,2269,16,Shopping
CUST_0365,27,6995,832,Freelance,2883,735,1329,4247,116,Dining
CUST_0366,48,11400,689,Executive,2840,2784,1233,643,332,Fuel
CUST_0367,34,15173,646,Executive,5334,3952,1981,4721,521,Shopping
CUST_0368,51,12630,554,Freelance,2552,2393,1753,216,79,Cashback
CUST_0369,72,24168,606,Freelance,10607,3920,1948,195,431,Dining
CUST_0370,39,16722,618,Retired,2649,3174,2127,3864,202,Travel
CUST_0371,78,2800,667,Executive,3442,3286,901,3273,115,Travel
CUST_0372,67,24753,608,Executive,2400,1215,890,2694,219,Travel
CUST_0373,36,10935,582,Freelance,5202,1695,1570,3212,252,Shopping
CUST_0374,73,20981,599,Full-time,4599,1907,1824,2755,168,Cashback
CUST_0375,25,6116,568,Freelance,1418,718,2065,1521,315,Cashback
CUST_0376,55,17893,763,Executive,1932,780,1188,1080,371,Cashback
CUST_0377,32,12117,746,Freelance,6291,1019,1548,721,582,Dining
CUST_0378,45,7252,596,Retired,6595,3265,201,1562,155,Shopping
CUST_0379,72,11352,716,Full-time,11107,1403,740,639,12,Travel
CUST_0380,79,7795,838,Freelance,11331,1426,1369,4260,507,Dining
CUST_0381,41,22699,690,Retired,11731,663,1389,4310,464,Cashback
